01.06.2020 00:00;Bel_T2_b;Vwz_T2_b;Bel_T2_s;Vwz_T2_s;Bel_T3_b;Vwz_T3_b;Bel_T3_s;Vwz_T3_s;Bel_TFW;Vwz_TFW
01.07.2020 21:00;0;0;0;0;0;0;1;0
01.07.2020 22:00;0;0;0;0;0;0;0;0
01.07.2020 23:00;0;0;0;0;0;0;0;0
02.07.2020 00:00;0;0;0;0;0;0;0;0
02.07.2020 01:00;0;0;0;0;0;0;0;0
02.07.2020 02:00;0;0;0;0;0;0;0;0
02.07.2020 03:00;0;0;0;0;0;0;0;0
02.07.2020 04:00;0;0;0;0;0;0;0;0
02.07.2020 05:00;0;0;0;0;0;0;0;0
02.07.2020 06:00;0;0;0;0;0;0;0;0
02.07.2020 07:00;2;0;1;0;34;6000;2;2400
02.07.2020 08:00;0;0;2;5400;6;0;13;3600
02.07.2020 09:00;4;0;2;3600;3;600;3;1200
02.07.2020 10:00;14;1200;8;8400;3;0;2;0
02.07.2020 11:00;29;4200;30;15600;0;0;6;3600
02.07.2020 12:00;14;1800;9;4800;23;4200;5;8400
02.07.2020 13:00;6;600;3;7800;1;0;1;1200
02.07.2020 14:00;13;3600;8;12000;0;0;2;1800
02.07.2020 15:00;4;600;6;3600;2;600;3;600
02.07.2020 16:00;7;600;16;12000;7;0;11;6600
02.07.2020 17:00;9;0;4;3000;20;4800;20;22200
02.07.2020 18:00;4;1200;7;10800;17;3000;7;1200
02.07.2020 19:00;3;0;7;6600;22;3600;1;3600
02.07.2020 20:00;0;0;0;0;0;0;1;1800
02.07.2020 21:00;0;0;0;0;2;600;0;0
02.07.2020 22:00;0;0;0;0;0;0;0;0
02.07.2020 23:00;0;0;0;0;0;0;0;0
03.07.2020 00:00;0;0;0;0;0;0;0;0
03.07.2020 01:00;0;0;0;0;0;0;0;0
