01.06.2020 00:00;Bel_TB32;Vwz_TB32;Bel_TF32;Vwz_TF32;Bel_V21;Vwz_V21;Bel_V81;Vwz_V81;Bel_VK1_2Stoer;Vwz_VK1_2Stoer
10.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 07:00;7;4200;8;4800;0;0;0;0;0;0
10.06.2020 08:00;6;3600;4;2400;0;0;0;0;0;0
10.06.2020 09:00;0;0;2;1200;0;0;0;0;0;0
10.06.2020 10:00;10;6600;12;8400;0;0;0;0;0;0
10.06.2020 11:00;2;1200;4;2400;0;0;0;0;0;0
10.06.2020 12:00;8;6600;2;1200;0;0;0;0;0;0
10.06.2020 13:00;13;9000;5;3000;0;0;0;0;0;0
10.06.2020 14:00;6;3600;3;1800;0;0;0;0;0;0
10.06.2020 15:00;12;16200;9;9600;0;0;0;0;0;0
10.06.2020 16:00;7;6000;10;7200;0;0;0;0;0;0
10.06.2020 17:00;8;6600;9;5400;0;0;0;0;0;0
10.06.2020 18:00;8;6000;4;2400;0;0;0;0;0;0
10.06.2020 19:00;3;1800;4;2400;0;0;0;0;0;0
10.06.2020 20:00;1;600;1;600;0;0;0;0;0;0
10.06.2020 21:00;1;600;3;3000;0;0;0;0;0;0
10.06.2020 22:00;0;0;1;600;0;0;0;0;0;0
10.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 01:00;0;0;1;600;0;0;0;0;0;0
11.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 08:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 09:00;2;1200;1;600;0;0;0;0;0;0
11.06.2020 10:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 11:00;1;600;3;2400;0;0;0;0;0;0
11.06.2020 12:00;2;1200;2;1200;0;0;0;0;0;0
11.06.2020 13:00;0;0;4;3600;0;0;0;0;0;0
11.06.2020 14:00;0;0;1;600;0;0;0;0;0;0
11.06.2020 15:00;3;1800;2;1200;0;0;0;0;0;0
11.06.2020 16:00;3;4200;0;0;0;0;0;0;0;0
11.06.2020 17:00;3;1800;7;7800;0;0;0;0;0;0
11.06.2020 18:00;2;1200;3;3000;0;0;0;0;0;0
11.06.2020 19:00;2;1200;2;1800;0;0;0;0;0;0
11.06.2020 20:00;0;0;1;600;0;0;0;0;0;0
11.06.2020 21:00;2;3000;4;3600;0;0;0;0;0;0
11.06.2020 22:00;0;0;1;600;0;0;0;0;0;0
11.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 07:00;0;0;1;600;0;0;0;0;0;0
12.06.2020 08:00;4;3600;9;6000;0;0;0;0;0;0
12.06.2020 09:00;1;600;4;2400;0;0;0;0;0;0
12.06.2020 10:00;3;3000;2;1200;0;0;0;0;0;0
12.06.2020 11:00;7;4200;4;2400;0;0;0;0;0;0
12.06.2020 12:00;5;3000;7;6000;0;0;0;0;0;0
12.06.2020 13:00;2;1200;2;1200;0;0;0;0;0;0
12.06.2020 14:00;5;3600;13;12600;0;0;0;0;0;0
12.06.2020 15:00;6;3600;2;1200;0;0;0;0;0;0
12.06.2020 16:00;4;3000;6;4200;0;0;0;0;0;0
12.06.2020 17:00;6;4200;8;7200;0;0;0;0;0;0
12.06.2020 18:00;2;1200;1;600;0;0;0;0;0;0
12.06.2020 19:00;2;1800;4;3600;0;0;0;0;0;0
12.06.2020 20:00;5;3000;2;1200;0;0;0;0;0;0
12.06.2020 21:00;2;1200;1;600;0;0;0;0;0;0
12.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 08:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 09:00;1;600;0;0;0;0;0;0;0;0
13.06.2020 10:00;3;2400;5;4200;0;0;0;0;0;0
13.06.2020 11:00;5;3000;8;5400;0;0;0;0;0;0
13.06.2020 12:00;4;2400;5;3000;0;0;0;0;0;0
13.06.2020 13:00;2;1200;3;1800;0;0;0;0;0;0
13.06.2020 14:00;2;1800;2;1200;0;0;0;0;0;0
13.06.2020 15:00;3;1800;3;3000;0;0;0;0;0;0
13.06.2020 16:00;5;6000;5;4200;0;0;0;0;0;0
13.06.2020 17:00;1;600;4;2400;0;0;0;0;0;0
13.06.2020 18:00;10;6000;5;3000;0;0;0;0;0;0
13.06.2020 19:00;7;6600;2;1200;0;0;0;0;0;0
13.06.2020 20:00;6;3600;5;3000;0;0;0;0;0;0
13.06.2020 21:00;1;600;1;600;0;0;0;0;0;0
13.06.2020 22:00;1;600;1;600;0;0;0;0;0;0
13.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 01:00;0;0;1;600;0;0;0;0;0;0
14.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 08:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 09:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 10:00;0;0;1;600;0;0;0;0;0;0
14.06.2020 11:00;1;600;3;1800;0;0;0;0;0;0
14.06.2020 12:00;3;1800;1;600;0;0;0;0;0;0
14.06.2020 13:00;4;3600;2;1200;0;0;0;0;0;0
14.06.2020 14:00;4;4200;6;4800;0;0;0;0;0;0
14.06.2020 15:00;4;2400;4;2400;0;0;0;0;0;0
14.06.2020 16:00;6;3600;1;600;0;0;0;0;0;0
14.06.2020 17:00;0;0;3;1800;0;0;0;0;0;0
14.06.2020 18:00;1;1200;4;3000;0;0;0;0;0;0
14.06.2020 19:00;6;4800;4;2400;0;0;0;0;0;0
14.06.2020 20:00;0;0;1;600;0;0;0;0;0;0
14.06.2020 21:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
15.06.2020 00:00;1;600;1;600;0;0;0;0;0;0
15.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
15.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
15.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
15.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
15.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
15.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
15.06.2020 07:00;5;5400;7;6600;0;0;0;0;0;0
15.06.2020 08:00;7;5400;6;4800;0;0;0;0;0;0
15.06.2020 09:00;4;2400;3;3000;0;0;0;0;0;0
15.06.2020 10:00;11;7200;7;6600;0;0;0;0;0;0
15.06.2020 11:00;3;1800;3;1800;0;0;0;0;0;0
15.06.2020 12:00;3;1800;3;1800;0;0;0;0;0;0
15.06.2020 13:00;12;11400;9;6600;0;0;0;0;0;0
15.06.2020 14:00;5;5400;4;3600;0;0;0;0;0;0
15.06.2020 15:00;9;7200;9;7200;0;0;0;0;0;0
15.06.2020 16:00;3;1800;4;2400;0;0;0;0;0;0
15.06.2020 17:00;10;13200;11;7200;0;0;0;0;0;0
15.06.2020 18:00;7;6000;6;4200;0;0;0;0;0;0
15.06.2020 19:00;2;1200;0;0;0;0;0;0;0;0
15.06.2020 20:00;0;0;0;0;0;0;0;0;0;0
15.06.2020 21:00;1;600;1;600;0;0;0;0;0;0
15.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
15.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
16.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
16.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
16.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
16.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
16.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
16.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
16.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
16.06.2020 07:00;5;3600;7;4200;0;0;0;0;0;0
16.06.2020 08:00;11;7200;5;3000;0;0;0;0;0;0
16.06.2020 09:00;3;1800;4;2400;0;0;0;0;0;0
16.06.2020 10:00;5;6000;9;6600;0;0;0;0;0;0
16.06.2020 11:00;2;2400;3;3000;0;0;0;0;0;0
16.06.2020 12:00;2;1200;6;4800;0;0;0;0;0;0
16.06.2020 13:00;9;6000;8;4800;0;0;0;0;0;0
16.06.2020 14:00;5;3600;8;6000;0;0;0;0;0;0
16.06.2020 15:00;5;3000;3;1800;0;0;0;0;0;0
16.06.2020 16:00;3;6000;5;3000;0;0;0;0;0;0
16.06.2020 17:00;5;4800;7;4200;0;0;0;0;0;0
16.06.2020 18:00;4;3600;2;1200;0;0;0;0;0;0
16.06.2020 19:00;1;600;1;600;0;0;0;0;0;0
16.06.2020 20:00;1;1200;2;1200;0;0;0;0;0;0
16.06.2020 21:00;0;0;2;1200;0;0;0;0;0;0
16.06.2020 22:00;0;0;1;600;0;0;0;0;0;0
16.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
17.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
17.06.2020 01:00;0;0;1;600;0;0;0;0;0;0
17.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
17.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
17.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
17.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
17.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
17.06.2020 07:00;5;7200;15;15000;0;0;0;0;0;0
17.06.2020 08:00;9;6000;4;2400;0;0;0;0;0;0
17.06.2020 09:00;5;4200;3;1800;0;0;0;0;0;0
17.06.2020 10:00;11;10200;14;12000;0;0;0;0;0;0
17.06.2020 11:00;14;9600;9;6600;0;0;0;0;0;0
17.06.2020 12:00;7;4200;9;5400;0;0;0;0;0;0
17.06.2020 13:00;9;7800;8;4800;0;0;0;0;0;0
17.06.2020 14:00;6;4800;10;7800;0;0;0;0;0;0
17.06.2020 15:00;5;3000;8;4800;0;0;0;0;0;0
17.06.2020 16:00;4;5400;9;6000;0;0;0;0;0;0
17.06.2020 17:00;5;3000;6;4200;0;0;0;0;0;0
17.06.2020 18:00;2;1800;2;1200;0;0;0;0;0;0
17.06.2020 19:00;2;1200;3;3000;0;0;0;0;0;0
17.06.2020 20:00;2;1200;1;600;0;0;0;0;0;0
17.06.2020 21:00;0;0;0;0;0;0;0;0;0;0
17.06.2020 22:00;1;1200;0;0;0;0;0;0;0;0
17.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
18.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
18.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
18.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
18.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
18.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
18.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
18.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
18.06.2020 07:00;7;4800;9;6000;0;0;0;0;0;0
18.06.2020 08:00;4;3600;4;2400;0;0;0;0;0;0
18.06.2020 09:00;1;600;5;4200;0;0;0;0;0;0
18.06.2020 10:00;14;17400;14;12000;0;0;0;0;0;0
18.06.2020 11:00;2;3000;3;1800;0;0;0;0;0;0
18.06.2020 12:00;4;3600;7;4200;0;0;0;0;0;0
18.06.2020 13:00;12;12600;7;6000;0;0;0;0;0;0
18.06.2020 14:00;3;1800;5;3000;0;0;0;0;0;0
18.06.2020 15:00;4;3000;10;7200;0;0;0;0;0;0
18.06.2020 16:00;13;12600;13;10200;0;0;0;0;0;0
