01.06.2020 00:00;Bel_A53_M5_3007;Vwz_A53_M5_3007;Bel_A57_M2_1138;Vwz_A57_M2_1138;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_D31;Vwz_D31;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_D43;Vwz_D43;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H53_M3_3006;Vwz_H53_M3_3006;Bel_H53_M6_1140;Vwz_H53_M6_1140;Bel_H57_M1_1137;Vwz_H57_M1_1137;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
06.12.2021 08:00;32;31960;0;0;78;988795;154;922479;18;170284;0;3600000;167;808894;491;818555;0;0;0;0;38;37970;2;2000;38;38032;0;0;0;0;0;0;0;0
06.12.2021 09:00;31;30930;0;0;84;1169830;174;757738;32;218782;0;3600000;167;940587;518;795663;0;0;0;0;33;32930;0;0;32;31980;0;0;0;0;0;0;0;0
06.12.2021 10:00;33;32960;0;0;75;968088;186;1039664;40;234130;0;3600000;196;969847;528;647042;0;0;0;0;33;32990;0;0;33;32950;0;0;0;0;0;0;0;0
06.12.2021 11:00;31;30950;0;0;93;1344700;164;658487;88;495907;0;3600000;158;799226;529;621190;0;0;0;0;34;33960;0;0;36;35950;0;0;0;0;0;0;0;0
06.12.2021 12:00;34;33960;0;0;76;868060;158;556970;118;793649;0;3600000;143;721590;517;614022;0;0;0;0;36;35960;0;0;35;34940;0;0;0;0;0;0;0;0
06.12.2021 13:00;34;34006;0;0;80;882170;195;1107809;76;515928;0;3600000;146;854473;576;887303;0;0;0;0;38;37960;0;0;39;38970;0;0;0;0;0;0;0;0
06.12.2021 14:00;36;35990;0;0;97;1110576;199;1100540;99;706067;0;3600000;129;752694;599;1037917;0;0;0;0;37;36970;0;0;37;36960;0;0;0;0;0;0;0;0
06.12.2021 15:00;33;32950;0;0;104;1335630;224;1042393;89;562775;0;3600000;153;850969;655;1178194;0;0;0;0;37;36970;0;0;39;38860;0;0;0;0;0;0;0;0
06.12.2021 16:00;34;33960;0;0;88;1330340;208;1357535;123;596612;0;3600000;134;868496;683;1457435;0;0;0;0;37;36940;0;0;36;36770;0;0;0;0;0;0;0;0
06.12.2021 17:00;34;33980;0;0;78;1084467;191;1030858;81;542263;0;3600000;123;660305;668;1149850;0;0;0;0;36;35980;0;0;37;36970;0;0;0;0;0;0;0;0
06.12.2021 18:00;34;33320;0;0;76;921059;132;567711;77;467395;0;3600000;93;486261;542;837511;0;0;0;0;36;35960;0;0;36;35950;0;0;0;0;0;0;0;0
06.12.2021 19:00;31;31560;0;0;46;702758;101;300222;62;328090;0;3600000;103;571822;394;563689;0;0;0;0;34;33970;0;0;34;33950;0;0;0;0;0;0;0;0
06.12.2021 20:00;28;27970;0;0;31;319796;60;134130;24;224040;0;3600000;54;233347;263;271266;0;0;0;0;30;29950;0;0;29;28930;0;0;0;0;0;0;0;0
06.12.2021 21:00;23;23040;0;0;16;74150;38;43400;19;159415;0;3600000;37;151616;195;216294;0;0;0;0;21;20970;0;0;22;21960;0;0;0;0;0;0;0;0
06.12.2021 22:00;19;18960;0;0;16;156002;33;27270;5;35300;0;3600000;31;214520;147;161830;0;0;0;0;19;18990;0;0;18;17990;0;0;0;0;0;0;0;0
06.12.2021 23:00;14;14000;0;0;3;33770;11;7650;0;0;0;3600000;18;115200;90;91570;0;0;0;0;15;14950;0;0;15;15000;0;0;0;0;0;0;0;0
07.12.2021 00:00;13;12980;0;0;5;33820;2;970;0;0;0;3600000;7;31140;48;59550;0;0;0;0;8;7980;0;0;8;8000;0;0;0;0;0;0;0;0
07.12.2021 01:00;2;1990;0;0;1;680;2;1070;1;390;0;3600000;8;53995;27;21940;0;0;0;0;4;3990;0;0;4;4000;0;0;0;0;0;0;0;0
