01.06.2020 00:00;Bel_D51;Vwz_D51;Bel_D52;Vwz_D52;Bel_D53;Vwz_D53;Bel_D54;Vwz_D54;Bel_D71;Vwz_D71;Bel_D72;Vwz_D72;Bel_D91;Vwz_D91;Bel_D92;Vwz_D92;Bel_D93;Vwz_D93;Bel_D94;Vwz_D94;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_MP3;Vwz_MP3;Bel_MP4;Vwz_MP4;Bel_MP5;Vwz_MP5;Bel_MP6;Vwz_MP6;Bel_MP7;Vwz_MP7;Bel_TBS35;Vwz_TBS35;Bel_TBS37;Vwz_TBS37;Bel_TBS38;Vwz_TBS38;Bel_TBS39;Vwz_TBS39;Bel_TF37;Vwz_TF37;Bel_TF38;Vwz_TF38;Bel_TS57;Vwz_TS57
03.06.2020 05:00;42;342384;45;799281;43;36020;46;49800;47;60700;48;45906;256;602176;190;359550;241;435453;187;106660;6;5970;6;6000;6;6000;3;3000;3;3000;6;5990;6;5990;0;0;1;770;0;3600000;1;6390;0;3600000;0;3600000;0;0
03.06.2020 06:00;135;1183056;119;1331392;136;146890;120;118190;137;155310;139;109650;511;1137659;394;755840;502;395360;389;285965;12;11990;10;10000;10;9960;4;4000;4;3990;9;9000;9;8990;1;900;3;3910;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 07:00;204;1674026;219;1948454;220;281850;222;528591;251;330260;251;196210;544;1515360;512;1384376;539;506945;518;446567;12;12047;12;12000;12;11970;4;3990;4;3990;9;8990;8;7970;4;3750;9;12320;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 08:00;218;1640116;222;1717969;224;285670;224;463774;243;378403;239;194800;514;1678643;541;1350510;501;566888;544;461538;13;12990;13;13000;14;14000;4;4000;4;4000;10;9990;11;10980;3;2950;10;32770;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 09:00;212;1749476;172;1530561;233;304909;178;318751;230;342947;221;176640;501;1722346;488;1310421;446;435237;481;456620;14;13990;14;13990;14;14026;4;4000;4;3990;10;9990;10;9990;4;3280;11;12090;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 10:00;232;1989613;183;1673842;251;503501;190;294192;222;397670;211;178050;505;1553499;485;1325034;502;471378;485;446377;14;13980;12;12000;14;13970;4;4000;4;3990;10;9990;10;10000;9;9120;12;12380;0;3600000;4;4540;0;3600000;0;3600000;0;0
03.06.2020 11:00;223;1890174;193;1829572;236;435912;198;404208;219;425844;209;188290;640;2169110;273;1090490;457;1783869;436;1574504;13;13000;13;13000;14;13960;4;3990;4;3990;11;10990;11;10980;10;10790;16;16860;0;3600000;1;880;0;3600000;0;3600000;0;0
03.06.2020 12:00;229;1769292;198;1625903;240;323712;198;305842;272;425635;264;207350;452;1428337;388;1264249;444;389660;396;303610;14;13980;13;13000;14;14000;5;4990;5;4990;8;7990;8;7990;6;5610;11;10580;0;3600000;1;760;0;3600000;0;3600000;0;0
03.06.2020 13:00;234;1676844;164;1597245;235;511256;176;273855;257;487767;253;201300;484;1472696;456;1299757;475;457810;449;482139;18;17960;16;16000;16;15980;4;4000;3;3000;11;10990;11;11000;8;7260;12;14490;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 14:00;224;1798727;193;1621257;219;358612;198;317040;257;366749;257;206440;434;1501923;466;1266682;435;383250;463;336960;12;11990;13;12990;13;12990;4;3990;4;4000;9;8980;10;9980;8;10070;11;13730;0;3600000;4;4530;0;3600000;0;3600000;0;0
03.06.2020 15:00;204;1645569;181;1733152;218;302023;182;362073;273;403500;265;204830;474;1427136;452;1333932;466;398540;450;350171;14;14000;14;13980;14;13960;5;5050;5;5000;10;10000;10;9990;10;9980;9;8340;0;3600000;1;890;0;3600000;0;3600000;0;0
03.06.2020 16:00;216;1701928;202;1907172;217;295137;210;434488;314;602689;298;269957;450;1349609;466;1303139;426;437679;477;406549;10;10000;13;12990;14;13980;3;3000;3;3000;11;11052;11;10990;10;12230;20;40750;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 17:00;201;1547762;175;1815318;207;226029;179;325529;314;498863;308;233231;456;1290958;414;1175533;385;789854;411;281361;15;14960;14;13990;14;13970;4;4000;4;3990;9;9000;8;7980;5;5540;13;12970;0;3600000;5;4330;0;3600000;0;3600000;0;0
03.06.2020 18:00;161;1342752;147;1633644;159;169610;152;204722;287;398067;283;210570;372;1045076;384;1013763;289;763503;380;247592;11;10990;12;11990;12;11980;4;4000;4;4000;10;9990;11;10980;3;3050;7;10750;0;3600000;3;3170;0;3600000;0;3600000;0;0
03.06.2020 19:00;149;1597109;116;1407390;152;156000;123;125743;201;254760;198;159450;276;756341;268;724180;166;1311665;262;167167;8;8000;8;7990;8;7990;3;3000;3;3000;9;8990;9;9000;1;860;4;3370;0;3600000;1;1210;0;3600000;0;3600000;0;0
03.06.2020 20:00;97;877618;84;908798;92;82820;89;99830;146;181240;139;107040;217;711826;201;715704;211;136090;203;124630;5;5000;7;7000;8;7970;2;2000;2;2000;8;8000;8;7990;1;1350;10;20290;0;3600000;1;720;0;3600000;0;3600000;0;0
03.06.2020 21:00;80;805539;57;781230;80;60540;59;70490;106;104600;105;77175;173;598148;152;626966;167;106120;151;94505;6;6000;6;6000;6;5990;0;0;0;0;6;5990;6;5990;0;0;2;1810;0;3600000;1;1170;0;3600000;0;3600000;0;0
03.06.2020 22:00;72;773479;56;713594;73;56010;58;54920;74;107432;74;56130;158;509560;112;384868;144;91780;108;65080;4;4000;4;4000;4;4000;0;0;0;0;5;5000;5;4970;0;0;2;2400;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 23:00;44;539232;22;302000;33;27370;26;28340;40;59410;38;31820;89;229126;59;149840;81;51040;57;34200;3;3000;3;2980;4;4000;0;0;0;0;4;3990;4;3990;2;2120;2;1820;0;3600000;0;0;0;3600000;0;3600000;0;0
04.06.2020 00:00;20;249250;21;469065;18;14470;23;23350;30;48520;29;23590;53;143010;35;95689;54;31800;33;18470;1;1000;2;2000;2;2000;0;0;0;0;3;3000;3;2990;2;2310;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
04.06.2020 01:00;9;165261;10;166930;11;8430;15;11470;19;38500;15;8060;36;64290;26;40931;33;21990;22;13050;1;1000;1;1000;1;1000;0;0;0;0;0;0;0;0;0;0;1;840;0;3600000;0;0;0;3600000;0;3600000;0;0
04.06.2020 02:00;7;116010;4;105877;7;4460;4;2710;12;22240;12;6180;29;60150;13;9720;29;20410;12;6200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
04.06.2020 03:00;5;49820;5;75270;4;2870;6;3500;4;2430;4;1960;27;35050;20;14170;26;18480;16;8740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
04.06.2020 04:00;8;55050;10;134790;6;4300;11;12910;10;19560;11;16990;55;126070;26;18300;52;45180;25;15100;2;2000;2;2000;2;1990;0;0;0;0;3;3000;3;3000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
04.06.2020 05:00;53;696942;49;592204;63;47430;55;59020;52;64260;51;48980;241;632440;190;351114;239;165240;185;103730;6;5990;6;5980;6;5990;3;3000;3;2990;6;5990;6;6000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
04.06.2020 06:00;112;995986;120;1292100;118;115050;129;179070;135;139290;136;108060;476;1130597;383;783104;469;338664;388;251900;10;9980;10;10000;10;9970;4;4000;4;3980;9;9000;9;8990;0;0;0;0;0;3600000;2;2160;0;3600000;0;3600000;0;0
04.06.2020 07:00;222;1749608;210;1813811;216;440154;208;501397;246;306417;247;194950;598;1616000;551;1344590;595;675057;553;477030;12;11990;12;11980;12;11960;4;3990;4;4000;9;9047;9;8990;1;1100;7;7770;0;3600000;0;0;0;3600000;0;3600000;0;0
04.06.2020 08:00;249;1787640;224;1888217;254;410236;226;364268;257;378274;247;203468;533;1663384;594;1379604;523;536463;594;604059;15;14970;14;13990;14;13960;4;4000;4;4000;10;9990;11;11000;1;990;9;9170;0;3600000;0;0;0;3600000;0;3600000;0;0
04.06.2020 09:00;217;1774352;192;1689903;214;364456;199;439890;229;344870;223;175647;486;1607521;483;1297178;494;555345;478;496987;15;14990;14;13990;14;13980;4;4000;4;4000;9;8990;9;8990;1;860;7;7280;0;3600000;1;1560;0;3600000;0;3600000;0;0
04.06.2020 10:00;246;1846686;180;1620160;245;526847;186;404010;215;370045;206;172960;490;1685911;438;1347875;493;524910;439;419866;15;14980;13;12990;14;13960;4;4000;4;3990;11;11000;11;10990;3;2600;14;21759;1;3404770;1;2080;1;3404920;1;3404770;0;0
04.06.2020 11:00;206;1653502;174;1555591;212;430500;187;369510;256;356458;245;214716;492;1626966;480;1399752;493;586688;482;482620;17;16990;14;13990;14;13970;5;4990;5;5000;9;8990;9;8980;5;5030;8;10200;0;3600000;2;2130;0;3600000;0;3600000;0;0
04.06.2020 12:00;211;1727358;164;1688035;230;353170;165;335977;257;356117;249;215930;463;1541249;473;1506031;458;463368;480;527695;15;14990;14;14000;14;13980;4;4000;4;4000;10;9980;10;9980;3;3030;8;8710;0;3600000;1;740;0;3600000;0;3600000;0;0
04.06.2020 13:00;204;1697620;168;1663454;218;278115;169;233118;287;538000;278;243380;514;1610989;469;1477604;510;522700;478;435716;15;14990;13;12990;14;14000;4;4054;4;3990;10;9990;10;10000;3;2790;12;12910;0;3600000;4;3970;0;3600000;0;3600000;0;0
04.06.2020 14:00;247;1866038;192;1666006;259;421441;204;355557;287;415010;275;222602;469;1717176;491;1499954;261;188930;499;524999;17;16960;16;15990;16;15980;4;4000;4;3990;11;10990;11;10970;6;5530;16;16610;0;3600000;2;2720;0;3600000;0;3600000;0;0
04.06.2020 15:00;250;1808062;201;1704917;263;357440;210;411330;286;410720;275;223243;485;1575610;494;1523039;491;480900;495;519990;13;12970;14;13990;14;13960;4;3990;4;3990;8;8000;10;9990;7;6420;15;19240;0;3600000;2;1550;0;3600000;0;3600000;0;0
04.06.2020 16:00;217;1814980;175;1824809;225;287668;180;273370;300;513470;291;228117;491;1438350;473;1313853;488;409262;476;352099;14;13970;14;14000;14;13980;4;4000;4;4000;11;10990;11;10980;3;3180;11;15790;0;3600000;2;1580;0;3600000;0;3600000;0;0
04.06.2020 17:00;216;1675941;185;1603088;230;301555;195;266705;326;406870;313;247228;418;1382763;443;1392090;401;338120;452;365558;15;14970;14;14000;14;13980;4;4000;4;4000;10;9990;10;10000;4;3670;4;3420;0;3600000;2;2150;0;3600000;0;3600000;0;0
04.06.2020 18:00;167;1544835;154;1465071;160;166498;161;201485;298;420750;292;222581;371;1100126;369;1172824;358;238150;371;266368;13;13060;12;11980;12;11980;4;3990;4;4000;11;11000;11;10990;5;8190;9;10090;0;3600000;6;6540;0;3600000;0;3600000;0;0
04.06.2020 19:00;111;1156113;113;1206939;119;90500;112;108060;217;308836;203;147486;265;838978;276;824693;264;170000;274;184542;7;6990;7;7000;7;7000;3;3000;3;3000;8;7980;8;7990;2;2900;11;12380;0;3600000;3;3710;0;3600000;0;3600000;0;0
04.06.2020 20:00;106;800594;71;910820;116;123410;78;76590;135;169465;128;96103;231;712420;199;722647;229;164910;199;129320;9;9000;9;9000;9;9000;2;2000;2;2000;7;7000;7;7000;1;920;2;2240;0;3600000;0;0;0;3600000;0;3600000;0;0
