01.06.2020 00:00;Bel_AF_Bld_33;Vwz_AF_Bld_33;Bel_AF_FG33;Vwz_AF_FG33;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_MP2_A142;Vwz_MP2_A142;Bel_MP2_A8;Vwz_MP2_A8;Bel_MP3;Vwz_MP3
07.06.2020 09:00;0;0;0;3600000;4;105990;10;4910;4;3600;4;3600;4;3600;4;3600;4;3600
07.06.2020 10:00;3;3290;0;3600000;0;0;18;5940;4;3590;4;3600;4;3590;4;3600;4;3600
07.06.2020 11:00;6;19480;0;3600000;0;0;17;5240;4;3600;4;3600;4;3600;4;3590;4;3600
07.06.2020 12:00;8;6200;0;3600000;1;2280;25;7640;5;4480;5;4490;5;4500;6;5380;6;5390
07.06.2020 13:00;12;11310;0;3600000;3;110900;37;11010;8;7190;8;7200;8;7170;8;7200;8;7200
07.06.2020 14:00;6;5599;0;3600000;9;262527;45;17690;8;7190;8;7200;8;7180;8;7190;8;7190
07.06.2020 15:00;10;10580;0;3600000;3;96500;42;15080;8;7190;8;7190;8;7200;7;6290;7;6290
07.06.2020 16:00;9;11100;0;3600000;4;105228;40;13090;8;7190;8;7190;8;7190;9;8080;8;7190
07.06.2020 17:00;9;8390;0;3600000;4;95373;42;14610;8;7180;8;7180;8;7200;8;7190;8;7200
07.06.2020 18:00;3;1980;0;3600000;3;124140;36;12440;8;7200;8;7200;8;7200;8;7190;9;8100
07.06.2020 19:00;11;15020;0;3600000;2;11990;26;8460;6;5390;6;5400;6;5370;5;4500;5;4480
07.06.2020 20:00;9;7015;0;3600000;2;19260;25;9120;4;3600;4;3580;4;3590;4;3600;4;3600
07.06.2020 21:00;12;9690;0;3600000;7;202470;27;13610;4;3600;4;3600;4;3600;4;3600;4;3600
07.06.2020 22:00;3;2680;0;3600000;1;46560;10;4010;4;3600;4;3590;4;3590;4;3600;4;3600
07.06.2020 23:00;1;640;0;3600000;5;160316;12;6690;4;3580;4;3600;4;3600;4;3580;4;3590
08.06.2020 00:00;0;0;0;3600000;2;58020;4;3570;5;4500;5;4490;5;4500;2;1800;2;1800
08.06.2020 01:00;0;0;0;3600000;0;0;5;2200;1;900;1;900;1;900;0;0;0;0
08.06.2020 02:00;0;0;0;3600000;1;12480;3;1730;0;0;0;0;0;0;0;0;0;0
08.06.2020 03:00;0;0;0;3600000;0;0;2;1310;0;0;0;0;0;0;1;900;1;900
08.06.2020 04:00;0;0;0;3600000;3;73350;12;9660;2;1790;2;1790;2;1800;3;2700;3;2700
08.06.2020 05:00;6;4980;0;3600000;2;42670;35;12260;9;8100;9;8080;9;8100;12;10790;12;10800
08.06.2020 06:00;22;21810;0;3600000;37;1181079;92;54410;14;12600;14;12590;13;11690;16;14390;16;14380
08.06.2020 07:00;39;48960;0;3600000;35;1082108;88;53920;16;14390;16;14390;16;14380;16;14370;16;14380
08.06.2020 08:00;37;42538;0;3600000;32;1358267;95;55670;16;14370;16;14390;16;14380;16;14400;16;14380
08.06.2020 09:00;22;16730;0;3600000;19;789823;65;36040;17;15280;17;15290;17;15399;17;15300;17;15290
08.06.2020 10:00;34;32075;0;3600000;25;869491;87;47030;15;13490;15;13538;15;13480;16;14380;16;14380
08.06.2020 11:00;31;29570;0;3600000;23;985665;102;57020;18;16160;18;16190;16;14360;15;13500;15;13480
08.06.2020 12:00;43;48219;0;3600000;20;651761;85;45110;17;15260;17;15290;17;15260;18;16190;18;16160
08.06.2020 13:00;33;38940;0;3600000;18;744282;75;42200;16;14380;16;14370;16;14380;17;15270;17;15300
08.06.2020 14:00;28;25470;0;3600000;20;923775;103;45680;17;15260;17;15300;17;15300;17;15290;17;15280
08.06.2020 15:00;31;32360;0;3600000;13;621530;108;42555;16;14390;16;14370;16;14370;16;14390;16;14370
08.06.2020 16:00;25;24050;0;3600000;8;229445;111;43130;16;14400;16;14686;15;13490;16;14390;16;14390
08.06.2020 17:00;18;15740;0;3600000;9;552242;103;38070;16;14380;16;14458;16;14380;16;14370;16;14390
08.06.2020 18:00;24;30808;0;3600000;5;163090;79;31220;16;14390;16;14400;16;14390;15;13490;15;13500
08.06.2020 19:00;14;17190;0;3600000;7;342767;45;17356;11;9880;11;9890;11;9900;9;8100;9;8100
08.06.2020 20:00;11;12340;0;3600000;3;95190;41;17240;8;7190;8;7180;8;7200;8;7180;8;7200
08.06.2020 21:00;5;3670;0;3600000;1;10000;30;10500;7;6280;7;6300;7;6290;7;6300;7;6280
08.06.2020 22:00;4;2770;0;3600000;3;73956;14;4560;6;5380;6;5400;6;5390;5;4500;4;3600
08.06.2020 23:00;0;0;0;3600000;2;43800;10;4140;4;3600;4;3590;4;3590;4;3590;5;4500
09.06.2020 00:00;0;0;0;3600000;2;86483;6;2640;6;5380;6;5400;6;5400;2;1800;2;1800
09.06.2020 01:00;1;570;0;3600000;2;27720;6;2540;0;0;0;0;0;0;0;0;0;0
09.06.2020 02:00;0;0;0;3600000;1;12360;3;1880;0;0;0;0;0;0;0;0;0;0
09.06.2020 03:00;0;0;0;3600000;0;0;0;0;0;0;0;0;0;0;1;900;1;900
09.06.2020 04:00;0;0;0;3600000;1;60870;5;3520;2;1800;2;1780;2;1800;3;2700;3;2690
09.06.2020 05:00;2;1910;0;3600000;4;82760;34;15140;9;8080;9;8100;9;8090;12;10800;12;10780
09.06.2020 06:00;19;15130;0;3600000;42;1213502;90;62110;14;12550;14;12580;14;12600;16;14400;16;14380
09.06.2020 07:00;26;27740;0;3600000;46;1466799;113;73950;16;14390;16;14380;16;14390;17;15300;17;15290
09.06.2020 08:00;26;23830;0;3600000;32;1384756;107;64100;16;14370;16;14370;16;14400;16;14380;16;14370
09.06.2020 09:00;22;22830;0;3600000;17;733315;72;39870;16;14380;16;14390;16;14490;16;14370;16;14380
09.06.2020 10:00;33;28549;0;3600000;24;1007147;79;45300;16;14390;16;14380;15;13480;17;15280;17;15290
09.06.2020 11:00;26;22570;0;3600000;23;863409;105;55870;16;14340;16;14400;16;14400;16;14380;16;14380
09.06.2020 12:00;31;23610;0;3600000;14;626855;92;40400;17;15280;17;15290;16;14390;16;14370;16;14390
09.06.2020 13:00;33;27236;0;3600000;13;517073;99;46690;16;14390;16;14380;15;13580;16;14390;16;14380
09.06.2020 14:00;41;50806;0;3600000;17;979528;90;41810;18;16160;18;16259;18;16190;18;16190;18;16190
09.06.2020 15:00;55;71128;0;3600000;13;646660;69;34950;16;14350;16;14390;16;14390;16;14380;15;13480
09.06.2020 16:00;24;22980;0;3600000;7;461188;106;44500;16;14446;16;14380;16;14460;16;14380;17;15250
09.06.2020 17:00;37;34570;0;3600000;8;392069;94;39810;16;14390;16;14390;16;14380;16;14370;16;14390
09.06.2020 18:00;18;18610;0;3600000;3;88840;79;27028;15;13480;15;13490;15;13480;15;13480;15;13480
09.06.2020 19:00;10;4990;0;3600000;1;39300;52;16660;11;9870;11;9890;11;9900;9;8080;8;7190
09.06.2020 20:00;7;5020;0;3600000;4;142267;29;10320;8;7200;8;7190;8;7190;7;6346;8;7180
09.06.2020 21:00;8;5469;0;3600000;5;153972;20;8700;7;6280;7;6300;7;6280;8;7200;8;7180
09.06.2020 22:00;0;0;0;3600000;0;0;12;4140;6;5390;6;5400;6;5390;5;4500;5;4490
09.06.2020 23:00;0;0;0;3600000;1;14170;13;5380;4;3590;4;3600;4;3600;4;3600;4;3590
10.06.2020 00:00;0;0;0;3600000;2;56300;7;3400;6;5400;6;5400;6;5390;2;1790;2;1800
10.06.2020 01:00;0;0;0;3600000;1;29950;2;1440;0;0;0;0;0;0;0;0;0;0
10.06.2020 02:00;0;0;0;3600000;1;19650;4;2130;0;0;0;0;0;0;0;0;0;0
10.06.2020 03:00;0;0;0;3600000;0;0;2;690;0;0;0;0;0;0;2;1800;1;900
10.06.2020 04:00;0;0;0;3600000;1;54710;5;2760;2;1800;2;1790;2;1800;2;1800;3;2700
10.06.2020 05:00;3;5440;0;3600000;4;98560;34;17970;9;8090;9;8080;9;8090;12;10800;12;10800
10.06.2020 06:00;18;13290;0;3600000;45;1098540;119;73097;13;11700;13;11690;13;11690;16;14370;16;14380
10.06.2020 07:00;43;28910;0;3600000;36;1241397;90;191873;16;14390;16;14380;16;14400;18;16224;18;16190
10.06.2020 08:00;41;26740;0;3600000;31;1169733;110;67820;17;15290;17;15270;17;15390;16;14400;16;14370
10.06.2020 09:00;24;18420;0;3600000;23;976697;89;53600;16;14370;16;14390;16;14704;16;14360;16;14400
10.06.2020 10:00;32;27670;0;3600000;16;699761;90;41419;17;15353;17;15300;17;15290;17;15280;17;15280
10.06.2020 11:00;31;22390;0;3600000;17;599711;81;40560;16;14695;16;14370;16;14380;15;13480;15;13528
10.06.2020 12:00;42;52293;0;3600000;25;1027795;91;46740;16;14380;16;14400;16;14400;16;14390;17;15260
10.06.2020 13:00;23;16210;0;3600000;13;390496;106;45400;16;14380;16;14390;16;14400;16;14390;16;14380
10.06.2020 14:00;43;35436;0;3600000;13;594135;97;40680;18;16160;18;16180;18;16200;17;15290;17;15260
10.06.2020 15:00;37;36729;0;3600000;18;671352;115;56780;16;14370;16;14390;15;13480;17;15346;17;15280
10.06.2020 16:00;26;22800;0;3600000;20;898995;108;50110;16;14400;16;14370;16;14480;16;14390;16;14380
10.06.2020 17:00;33;32320;0;3600000;9;342400;112;41994;16;14370;16;14380;15;13590;16;14390;16;14380
10.06.2020 18:00;23;17020;0;3600000;10;517632;71;31080;15;13480;16;14370;16;14390;15;13500;15;13490
10.06.2020 19:00;21;16910;0;3600000;6;271093;60;21480;11;9880;11;9920;11;9890;9;8100;8;7200
