01.06.2020 00:00;Bel_TF35;Vwz_TF35;Bel_TF35a;Vwz_TF35a;Bel_TF36;Vwz_TF36;Bel_TF36a;Vwz_TF36a
16.06.2020 20:00;0;0;15;4200;6;0;0;0
16.06.2020 21:00;0;0;11;3000;11;2400;0;0
16.06.2020 22:00;0;0;3;0;4;0;0;0
16.06.2020 23:00;0;0;0;0;0;0;0;0
17.06.2020 00:00;0;0;0;0;0;0;0;0
17.06.2020 01:00;0;0;0;0;0;0;0;0
17.06.2020 02:00;0;0;0;0;0;0;0;0
17.06.2020 03:00;0;0;0;0;0;0;0;0
17.06.2020 04:00;0;0;0;0;0;0;0;0
17.06.2020 05:00;0;0;0;0;0;0;0;0
17.06.2020 06:00;0;0;0;0;4;1200;0;0
17.06.2020 07:00;0;0;2;600;17;1800;0;0
17.06.2020 08:00;0;0;8;0;8;600;1;0
17.06.2020 09:00;0;0;6;0;5;0;0;0
17.06.2020 10:00;0;0;6;0;40;5400;0;0
17.06.2020 11:00;0;0;2;600;9;600;0;0
17.06.2020 12:00;0;0;9;2400;6;2400;0;0
17.06.2020 13:00;0;0;110;21600;19;1200;0;0
17.06.2020 14:00;3;1200;6;600;30;3600;4;600
17.06.2020 15:00;0;0;8;600;31;4800;0;0
17.06.2020 16:00;0;0;12;7200;17;2400;2;6600
17.06.2020 17:00;0;0;18;6000;7;0;0;0
17.06.2020 18:00;0;0;6;600;1;600;0;0
17.06.2020 19:00;0;0;0;0;0;0;0;0
17.06.2020 20:00;0;0;6;1800;2;0;0;0
17.06.2020 21:00;0;0;0;0;0;0;0;0
17.06.2020 22:00;0;0;3;0;0;0;0;0
17.06.2020 23:00;0;0;0;0;2;0;0;0
18.06.2020 00:00;0;0;0;0;0;0;0;0
18.06.2020 01:00;0;0;1;1200;0;0;0;0
18.06.2020 02:00;0;0;0;0;0;0;0;0
18.06.2020 03:00;0;0;0;0;0;0;0;0
18.06.2020 04:00;0;0;0;0;0;0;0;0
18.06.2020 05:00;0;0;0;0;0;0;0;0
18.06.2020 06:00;0;0;6;1200;0;0;0;0
18.06.2020 07:00;0;0;3;0;81;16800;0;0
18.06.2020 08:00;1;1200;12;3000;30;8400;0;0
18.06.2020 09:00;0;0;2;0;31;5400;0;0
18.06.2020 10:00;0;0;74;41400;42;8400;14;9000
18.06.2020 11:00;0;0;9;1200;8;600;0;0
18.06.2020 12:00;1;0;18;3600;5;600;0;0
18.06.2020 13:00;1;0;38;24600;12;6600;9;1800
18.06.2020 14:00;0;0;8;1200;26;3600;0;0
18.06.2020 15:00;0;0;5;600;28;10200;0;0
18.06.2020 16:00;0;0;14;3600;16;3000;1;600
18.06.2020 17:00;3;600;6;0;11;1200;0;0
18.06.2020 18:00;0;0;8;2400;7;600;0;0
18.06.2020 19:00;0;0;4;600;23;2400;1;0
18.06.2020 20:00;0;0;4;0;7;1200;0;0
18.06.2020 21:00;1;0;3;0;8;1200;0;0
18.06.2020 22:00;2;0;1;0;11;2400;0;0
18.06.2020 23:00;0;0;0;0;0;0;0;0
19.06.2020 00:00;0;0;0;0;0;0;0;0
19.06.2020 01:00;0;0;0;0;0;0;0;0
19.06.2020 02:00;0;0;0;0;0;0;0;0
19.06.2020 03:00;0;0;0;0;2;0;0;0
19.06.2020 04:00;0;0;0;0;0;0;0;0
19.06.2020 05:00;0;0;0;0;0;0;0;0
19.06.2020 06:00;0;0;1;0;1;0;0;0
19.06.2020 07:00;0;0;5;600;43;7800;0;0
19.06.2020 08:00;1;0;3;0;29;2400;0;0
19.06.2020 09:00;0;0;3;0;13;3600;0;0
19.06.2020 10:00;0;0;31;3000;19;1800;2;0
19.06.2020 11:00;0;0;9;7200;24;3000;0;0
19.06.2020 12:00;0;0;7;600;11;1800;3;0
19.06.2020 13:00;7;1800;10;1800;11;600;32;4800
19.06.2020 14:00;1;600;12;1200;16;2400;0;0
19.06.2020 15:00;2;1200;6;1800;12;0;6;0
19.06.2020 16:00;0;0;23;4800;9;0;0;0
19.06.2020 17:00;0;0;6;600;19;1800;0;0
19.06.2020 18:00;0;0;13;12600;11;600;0;0
19.06.2020 19:00;0;0;15;4800;1;600;0;0
19.06.2020 20:00;0;0;11;1800;4;2400;0;0
19.06.2020 21:00;0;0;2;600;6;0;0;0
19.06.2020 22:00;0;0;0;0;0;0;0;0
19.06.2020 23:00;0;0;0;0;5;4800;0;0
20.06.2020 00:00;0;0;0;0;1;0;0;0
20.06.2020 01:00;0;0;0;0;0;0;0;0
20.06.2020 02:00;0;0;0;0;0;0;0;0
20.06.2020 03:00;0;0;0;0;0;0;0;0
20.06.2020 04:00;0;0;0;0;0;0;0;0
20.06.2020 05:00;0;0;0;0;0;0;0;0
20.06.2020 06:00;0;0;0;0;0;0;0;0
20.06.2020 07:00;0;0;1;0;1;0;0;0
20.06.2020 08:00;0;0;2;0;5;0;0;0
20.06.2020 09:00;0;0;0;0;0;0;0;0
20.06.2020 10:00;0;0;5;0;8;1200;0;0
20.06.2020 11:00;0;0;5;600;25;7800;0;0
20.06.2020 12:00;0;0;17;1200;8;600;0;0
20.06.2020 13:00;1;0;11;3600;8;0;3;0
20.06.2020 14:00;1;0;4;1800;6;1200;1;0
20.06.2020 15:00;0;0;10;1200;16;1800;0;0
20.06.2020 16:00;0;0;4;600;15;600;0;0
20.06.2020 17:00;0;0;22;9600;7;0;0;0
20.06.2020 18:00;0;0;14;2400;8;0;2;600
20.06.2020 19:00;0;0;8;2400;34;8400;3;600
