01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_D43;Vwz_D43;Bel_FQMC55;Vwz_FQMC55;Bel_ST51a;Vwz_ST51a;Bel_ST51b;Vwz_ST51b;Bel_ST55;Vwz_ST55;Bel_T32a;Vwz_T32a;Bel_T32b;Vwz_T32b;Bel_T32b_a;Vwz_T32b_a;Bel_T32b_b;Vwz_T32b_b;Bel_T33b_a;Vwz_T33b_a;Bel_T33b_b;Vwz_T33b_b;Bel_T35b_a;Vwz_T35b_a;Bel_T35b_b;Vwz_T35b_b;Bel_V11;Vwz_V11;Bel_V1_Stoer;Vwz_V1_Stoer;Bel_V21;Vwz_V21;Bel_V211;Vwz_V211;Bel_V2_Stoer;Vwz_V2_Stoer;Bel_V321;Vwz_V321;Bel_V3_Stoer;Vwz_V3_Stoer;Bel_V44;Vwz_V44;Bel_V4_Stoer;Vwz_V4_Stoer;Bel_V5_Stoer;Vwz_V5_Stoer;Bel_V81;Vwz_V81;Bel_V91;Vwz_V91
03.06.2020 14:00;49;253800;6;1800;68;442800;3;18600;10;58200;0;0;0;0;0;0;3;1800;2;1200;2;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;56400;0;0;18;117600;0;0;2;18600;0;0;0;0;75;333000;1;4200
03.06.2020 15:00;49;268800;10;43200;66;639600;7;17400;9;70200;0;0;0;0;0;0;1;600;3;2400;1;600;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;36;71400;0;0;15;81600;0;0;6;97200;0;0;0;0;67;303600;2;1800
03.06.2020 16:00;54;240600;18;45600;65;387600;11;30000;9;69600;0;0;0;0;0;0;3;1800;2;1200;0;0;0;0;0;0;0;0;1;1200;0;0;0;0;0;0;0;0;28;23400;0;0;21;115800;0;0;5;51600;0;0;0;0;91;454200;3;25200
03.06.2020 17:00;74;426600;24;25200;89;537600;10;25800;11;75000;0;0;0;0;0;0;8;7200;3;1800;4;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;78000;0;0;19;88200;0;0;0;0;0;0;0;0;86;379800;1;1200
03.06.2020 18:00;68;306000;11;3600;63;625800;3;1800;9;56400;0;0;0;0;0;0;6;4800;3;1800;3;1800;0;0;2;2400;0;0;0;0;0;0;0;0;0;0;0;0;43;49800;0;0;18;90000;0;0;2;47400;0;0;0;0;76;424800;1;15000
03.06.2020 19:00;52;417000;5;1200;31;240000;9;55800;6;58200;0;0;0;0;0;0;1;600;0;0;1;600;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;46;83400;0;0;7;28800;0;0;0;0;0;0;0;0;75;369600;4;4200
03.06.2020 20:00;32;168000;1;600;18;141600;1;0;4;34200;0;0;0;0;0;0;1;600;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;35400;0;0;10;49800;0;0;0;0;0;0;0;0;43;218400;0;0
03.06.2020 21:00;21;151800;3;0;10;124200;2;18000;5;12600;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;33000;0;0;5;28200;0;0;0;0;0;0;0;0;46;168600;0;0
03.06.2020 22:00;15;152400;1;600;6;31200;0;0;3;15000;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;7200;0;0;2;9600;0;0;0;0;0;0;0;0;38;126000;0;0
03.06.2020 23:00;9;68400;1;600;5;96600;1;1200;3;19200;0;0;0;0;0;0;1;600;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2400;0;0;0;0;0;0;0;0;0;0;0;0;12;39000;0;0
