01.06.2020 00:00;Bel_AD75/HD81_M2_7X;Vwz_AD75/HD81_M2_7X;Bel_AD81_M5_769;Vwz_AD81_M5_769;Bel_AH75/HH81_M2_7X;Vwz_AH75/HH81_M2_7X;Bel_AH75_M7_770;Vwz_AH75_M7_770;Bel_AH81_M4_738;Vwz_AH81_M4_738;Bel_AH81_M5_769;Vwz_AH81_M5_769;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_H75_M1_736;Vwz_H75_M1_736;Bel_T11_T12;Vwz_T11_T12;Bel_T1_T2;Vwz_T1_T2;Bel_T5_T6;Vwz_T5_T6;Bel_T7_T8;Vwz_T7_T8
20.01.2022 20:00;0;0;0;0;17;17000;23;22990;18;17980;23;22980;378;160900;174;71340;236;127055;134;61159;23;22980;9;13660;9;12610;7;10080;12;19520
20.01.2022 21:00;0;0;0;0;14;13980;17;16980;15;14970;17;16980;292;114350;121;50070;148;72620;88;39480;18;17980;5;7699;7;13930;3;4200;1;1530
20.01.2022 22:00;0;0;0;0;11;10990;12;11980;12;11990;12;12000;265;108600;85;34350;148;71800;72;30530;14;13990;3;5190;3;4220;6;11590;2;2650
20.01.2022 23:00;0;0;0;0;6;5970;7;6990;7;7000;7;6990;160;67660;51;20630;88;42700;54;23020;10;10000;3;4020;2;2670;4;8990;1;1340
21.01.2022 00:00;0;0;0;0;5;4990;7;6990;5;4990;7;6990;60;29240;10;3670;38;18070;25;8640;6;5990;1;1340;0;0;0;0;3;4010
21.01.2022 01:00;0;0;0;0;0;0;3;3000;0;0;3;3000;60;27200;9;3680;23;9760;9;3990;0;0;0;0;0;0;0;0;0;0
21.01.2022 02:00;0;0;0;0;0;0;0;0;0;0;0;0;37;19030;7;3360;34;16630;9;3680;0;0;0;0;0;0;0;0;0;0
21.01.2022 03:00;0;0;0;0;2;2000;1;1000;2;2000;1;1000;44;23350;3;960;18;9430;6;2560;2;2000;0;0;0;0;0;0;0;0
21.01.2022 04:00;0;0;0;0;7;6990;5;5000;7;7000;5;5000;65;26380;20;7680;29;15200;18;8640;9;9000;0;0;0;0;0;0;0;0
21.01.2022 05:00;0;0;0;0;19;18950;16;15980;21;20960;16;15980;185;77280;97;39190;127;76280;89;35960;25;24990;1;1550;3;4060;0;0;4;6140
21.01.2022 06:00;0;0;0;0;24;23960;23;22990;27;26980;23;22960;378;177500;231;99629;263;140521;231;105390;29;29042;2;3320;3;4260;8;14022;2;3420
21.01.2022 07:00;0;0;0;0;27;26960;27;26970;29;28659;27;26980;568;342730;369;199102;463;364839;471;266300;35;34990;10;15460;48;84070;20;26600;20;30522
21.01.2022 08:00;0;0;0;0;25;24980;26;25970;27;27370;26;25960;539;313748;318;153710;454;282667;426;221458;30;29980;11;15800;43;68490;28;52580;13;21150
21.01.2022 09:00;0;0;0;0;21;20960;25;25060;24;23980;26;26068;525;262451;256;114810;439;279760;371;175761;25;24980;4;6840;26;37580;9;22940;8;13780
21.01.2022 10:00;1;1000;0;0;20;19950;22;21960;20;19990;21;20980;583;345410;285;173779;400;230510;296;137240;27;26990;9;12030;23;41530;10;16340;15;25390
21.01.2022 11:00;1;1000;2;1990;20;19970;22;21980;22;21990;22;21980;600;301600;316;170580;379;232490;282;129720;26;25799;9;13340;20;34350;15;29960;9;12910
21.01.2022 12:00;0;0;1;1000;24;24041;24;23980;25;24970;24;23950;651;417749;380;214049;435;264859;343;165660;30;29990;9;12000;33;57569;23;40920;16;26620
21.01.2022 13:00;0;0;0;0;27;27027;27;27000;30;29950;26;26000;695;466628;446;290680;471;288310;366;175750;33;32950;17;26800;46;81200;27;46220;22;33600
21.01.2022 14:00;0;0;0;0;24;23990;26;26023;26;26000;26;25980;733;399709;444;231900;487;306689;411;209890;29;28980;7;9340;33;53422;22;36870;11;15680
