01.06.2020 00:00;Bel_D571;Vwz_D571;Bel_ST53;Vwz_ST53;Bel_ST54;Vwz_ST54;Bel_T32;Vwz_T32;Bel_T32a;Vwz_T32a;Bel_T94;Vwz_T94
15.06.2020 16:00;0;0;0;0;0;0;50;114600;13;24600;14;10800
15.06.2020 17:00;0;0;0;0;0;0;49;50400;10;5400;13;9600
15.06.2020 18:00;0;0;0;0;0;0;35;58200;5;3600;8;6000
15.06.2020 19:00;0;0;0;0;0;0;18;17400;7;5400;1;600
15.06.2020 20:00;0;0;0;0;0;0;7;4800;1;1200;0;0
15.06.2020 21:00;0;0;0;0;0;0;7;12600;4;2400;0;0
15.06.2020 22:00;0;0;0;0;0;0;8;1200;0;0;3;2400
15.06.2020 23:00;0;0;0;0;0;0;4;1800;0;0;0;0
16.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0
16.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
16.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
16.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
16.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
16.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;1;600
16.06.2020 06:00;0;0;0;0;0;0;2;12600;0;0;3;2400
16.06.2020 07:00;0;0;0;0;0;0;77;28200;0;0;3;1800
