01.06.2020 00:00;Bel_A51_M1S_494;Vwz_A51_M1S_494;Bel_A54_M4SL_506;Vwz_A54_M4SL_506;Bel_A55_M3S_505;Vwz_A55_M3S_505;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H51_A74/M1S_493;Vwz_H51_A74/M1S_493;Bel_H54_M3SL_1289;Vwz_H54_M3SL_1289;Bel_H55_A30/M3S_504;Vwz_H55_A30/M3S_504;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
04.06.2020 12:00;15;14990;5;4990;21;20990;96;120440;201;341164;297;726827;0;0;15;14990;5;4990;21;20980;0;0;0;0;0;0;0;0
04.06.2020 13:00;16;15950;4;3980;19;18990;113;108430;201;426863;278;561802;0;0;16;15980;4;4000;20;19980;0;0;0;0;0;0;0;0
04.06.2020 14:00;18;17980;4;4000;22;21980;89;87240;229;419780;312;812619;0;0;18;17990;4;4000;21;21000;0;0;0;0;0;0;0;0
04.06.2020 15:00;16;15990;4;4000;18;17990;122;163380;237;395784;318;665721;0;0;16;16000;4;3990;18;17970;0;0;0;0;0;0;0;0
04.06.2020 16:00;15;15000;4;3980;20;19990;93;88650;228;484094;348;718205;0;0;16;15970;4;3990;18;17980;0;0;0;0;0;0;0;0
04.06.2020 17:00;17;16990;4;3990;21;20990;78;83310;201;273023;315;827166;0;0;16;16000;4;4000;22;21990;0;0;0;0;0;0;0;0
04.06.2020 18:00;16;15990;4;3990;20;19980;56;674617;178;266771;258;374629;0;0;16;15980;4;4000;19;19000;0;0;0;0;0;0;0;0
04.06.2020 19:00;11;11000;4;3990;12;11990;42;33050;123;119520;175;203170;0;0;12;11990;4;4000;12;12054;0;0;0;0;0;0;0;0
04.06.2020 20:00;8;8000;4;4000;12;12000;28;19196;81;67623;110;103180;0;0;8;7990;4;4000;12;11990;0;0;0;0;0;0;0;0
04.06.2020 21:00;8;8000;4;3990;11;10990;31;20420;58;44460;89;98780;0;0;7;7000;4;4000;12;11970;0;0;0;0;0;0;0;0
