01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_T3_4;Vwz_T3_4;Bel_T7_8;Vwz_T7_8
14.06.2020 18:00;33;501855;55;782309;5;4010;0;3600000
14.06.2020 19:00;20;358730;43;636125;3;1460;0;3600000
14.06.2020 20:00;20;341310;37;670117;3;1830;0;3600000
14.06.2020 21:00;16;202980;28;548106;9;8540;0;3600000
14.06.2020 22:00;5;150420;12;157360;6;2760;0;3600000
14.06.2020 23:00;5;75740;13;337997;1;1160;0;3600000
15.06.2020 00:00;1;960;11;11115;0;0;0;3600000
15.06.2020 01:00;0;0;3;2710;0;0;0;3600000
15.06.2020 02:00;1;1140;5;4590;0;0;0;3600000
15.06.2020 03:00;3;1560;2;2100;0;0;0;3600000
15.06.2020 04:00;3;1800;1;910;0;0;0;3600000
15.06.2020 05:00;15;16720;14;13720;0;0;0;3600000
15.06.2020 06:00;23;409910;36;676397;2;1690;0;3600000
15.06.2020 07:00;70;848230;52;1094185;12;9240;0;3600000
15.06.2020 08:00;65;760446;79;1458926;15;10790;0;3600000
15.06.2020 09:00;45;693304;65;1327837;15;17030;0;3600000
15.06.2020 10:00;42;328709;114;1542350;21;21010;0;3600000
15.06.2020 11:00;55;621305;92;1213053;22;11420;0;3600000
15.06.2020 12:00;58;599515;113;1386164;13;10680;0;3600000
15.06.2020 13:00;51;736411;131;1493205;14;6060;0;3600000
15.06.2020 14:00;56;606016;124;1472507;13;10030;0;3600000
15.06.2020 15:00;71;1121632;129;1815462;31;16610;0;3600000
15.06.2020 16:00;63;815697;164;1989008;23;16840;0;3600000
15.06.2020 17:00;76;941658;131;1680210;25;15400;0;3600000
15.06.2020 18:00;52;762269;120;1544422;10;6740;0;3480000
15.06.2020 19:00;43;631832;95;1548699;11;6470;1;3580560
15.06.2020 20:00;31;519721;56;1012125;3;1530;0;3600000
15.06.2020 21:00;17;237015;52;744947;5;1560;0;3600000
15.06.2020 22:00;11;178230;19;272590;2;570;0;3600000
15.06.2020 23:00;10;219450;12;278160;1;260;0;3600000
16.06.2020 00:00;4;5240;7;7770;1;160;0;3600000
16.06.2020 01:00;2;1990;5;5900;0;0;0;3600000
16.06.2020 02:00;1;910;2;3130;0;0;0;3600000
16.06.2020 03:00;2;1980;3;2480;0;0;0;3600000
16.06.2020 04:00;6;6620;0;0;0;0;0;3600000
16.06.2020 05:00;11;11460;16;14054;0;0;0;3600000
16.06.2020 06:00;23;447785;33;671575;8;4200;0;3600000
16.06.2020 07:00;70;1141384;54;1178095;8;5800;0;3600000
16.06.2020 08:00;48;736481;72;1160943;14;9830;0;3600000
16.06.2020 09:00;45;380645;70;1176414;8;4920;0;3600000
16.06.2020 10:00;48;572400;103;1239569;11;6680;0;3600000
16.06.2020 11:00;52;500500;106;1582505;13;8490;0;3600000
16.06.2020 12:00;49;481806;130;1539510;30;24480;0;3600000
16.06.2020 13:00;61;785350;102;1537627;27;13910;0;3600000
16.06.2020 14:00;50;489437;124;1419657;11;7430;0;3600000
16.06.2020 15:00;57;749366;142;2060336;16;10919;0;3600000
16.06.2020 16:00;70;1013988;156;1845342;17;10050;0;3600000
16.06.2020 17:00;63;817285;120;1830721;15;6030;0;3600000
16.06.2020 18:00;51;762071;133;1780002;19;12550;0;3600000
16.06.2020 19:00;22;362544;84;1575993;10;5590;0;3600000
16.06.2020 20:00;23;502186;71;1104942;6;2940;0;3600000
16.06.2020 21:00;21;403524;54;1045087;16;11650;0;3600000
16.06.2020 22:00;23;406242;31;506992;2;2100;0;3600000
16.06.2020 23:00;5;71720;14;413026;8;3974;0;3600000
17.06.2020 00:00;3;2820;14;13440;0;0;0;3600000
17.06.2020 01:00;4;4460;3;2830;0;0;0;3600000
17.06.2020 02:00;1;720;0;0;0;0;0;3600000
17.06.2020 03:00;3;3000;3;2700;0;0;0;3600000
17.06.2020 04:00;4;3920;3;4460;0;0;0;3600000
17.06.2020 05:00;7;7530;19;14660;0;0;0;3600000
17.06.2020 06:00;25;407470;31;621760;2;1870;0;3600000
17.06.2020 07:00;62;805046;66;1453415;17;14230;0;3600000
17.06.2020 08:00;75;1058124;61;1130006;15;8070;0;3600000
17.06.2020 09:00;49;884340;59;920277;17;9980;0;3600000
17.06.2020 10:00;46;478558;97;1353265;15;9160;0;3600000
17.06.2020 11:00;47;554099;105;1311555;15;14990;0;3600000
17.06.2020 12:00;66;973601;116;1434239;16;10500;0;3600000
17.06.2020 13:00;53;592490;131;1553664;33;14820;0;3600000
17.06.2020 14:00;55;708744;122;1561312;31;19560;0;3600000
17.06.2020 15:00;67;787005;153;2239878;17;12910;0;3600000
17.06.2020 16:00;71;781442;143;2208563;28;19467;0;3600000
17.06.2020 17:00;54;935143;126;1762050;18;9180;0;3600000
17.06.2020 18:00;48;1006049;96;1799590;9;5060;0;3600000
17.06.2020 19:00;49;979384;93;1712955;10;3299;0;3600000
